ID,JOB,CAR,RACE,SALARY,GENDER,SAV,OFFICER,AGE,RESPONSE
436,1,2,1,71,0,772,1,29,1
437,13,2,2,66,0,622,2,41,0
438,1,2,2,36,0,397,3,28,0
439,2,1,2,30,0,46,1,21,0
440,1,2,2,64,0,604,4,31,0
441,1,2,2,50,0,529,3,41,1
442,3,1,2,46,1,466,3,22,0
443,5,2,2,54,1,496,1,24,0
444,1,2,2,41,0,415,4,33,1
445,5,2,2,24,0,391,3,30,1
446,1,2,2,126,1,1282,4,25,1
447,2,1,2,24,1,259,4,28,0
448,1,1,2,90,1,595,2,26,0
449,1,2,2,74,1,508,3,22,1
450,1,2,2,36,1,415,2,26,0
451,2,1,2,26,1,136,3,23,0
452,1,2,2,40,0,367,3,23,1
453,1,1,2,64,1,697,3,25,0
454,1,2,1,1,0,88,4,72,0
455,3,1,2,56,1,634,3,24,0
456,15,2,2,60,0,508,1,38,1
457,1,2,2,31,0,301,4,62,0
458,6,1,2,56,1,406,2,24,0
459,11,2,2,96,1,628,4,51,1
460,10,2,2,22,1,277,3,81,0
461,10,2,2,44,1,124,4,48,0
462,1,1,2,18,0,154,3,26,0
463,9,1,2,80,1,559,4,39,0
464,6,1,2,60,0,328,2,37,0
465,1,2,2,22,0,220,4,34,0
466,1,2,2,26,1,154,3,21,0
467,1,1,2,20,1,334,2,22,0
468,1,1,2,72,1,604,3,25,0
469,1,2,1,49,0,400,1,38,1
470,7,2,2,82,1,883,3,27,0
471,2,2,2,80,0,739,3,28,0
472,1,2,2,76,0,496,1,22,0
473,1,2,2,54,0,664,2,22,0
474,1,2,2,36,0,397,1,50,0
475,1,2,2,38,0,367,1,24,0
476,1,2,2,54,0,319,1,59,0
477,3,2,2,90,1,511,4,29,1
478,8,2,2,34,1,214,3,31,0
479,9,2,2,76,1,277,1,39,0
480,5,2,2,62,0,340,3,63,0
481,4,2,2,60,1,565,2,35,1
482,1,2,2,74,0,556,1,29,0
483,5,1,2,44,1,334,2,28,0
484,1,1,2,62,1,646,1,23,0
485,1,2,1,80,0,826,4,31,1
486,1,2,2,84,1,769,2,24,1
487,2,2,2,82,1,721,3,21,0
488,1,2,2,64,1,895,4,58,0
489,5,1,2,34,0,268,2,28,0
490,1,2,2,13,0,283,3,67,0
491,3,1,2,56,1,604,4,24,0
492,3,1,2,60,0,505,2,42,0
493,5,1,2,76,0,484,1,33,0
494,5,2,2,36,1,367,4,45,1
495,1,1,1,0,0,0,1,22,0
496,1,2,2,10,0,298,2,66,0
497,1,2,2,27,0,280,2,30,0
498,3,1,2,30,1,403,3,25,0
499,8,2,2,66,1,253,1,55,1
500,7,2,2,64,1,379,4,39,0
501,3,2,2,38,1,256,2,21,0
502,4,1,2,64,0,616,2,28,0
503,7,1,2,82,0,670,4,41,1
504,8,1,2,50,1,499,4,41,0
505,4,1,2,78,0,619,1,40,0
506,1,1,2,47,0,499,2,38,0
507,1,2,2,52,1,595,2,35,1
508,2,2,2,46,1,358,4,21,0
509,3,1,1,46,1,412,4,21,0
510,1,2,2,23,0,250,3,64,0
511,13,1,2,62,0,391,2,46,1
512,1,2,2,34,1,163,1,21,0
513,1,1,2,30,0,226,1,58,0
514,1,1,2,29,0,319,3,22,0
515,4,1,2,38,1,268,1,24,0
516,4,2,2,36,1,448,2,28,1
517,10,2,2,68,1,409,4,53,1
518,1,2,2,63,0,628,2,51,0
519,1,1,2,37,0,484,1,41,0
520,7,2,2,14,1,88,3,60,0
521,3,1,2,64,1,250,1,25,0
522,4,2,2,66,1,496,2,26,0
523,1,2,1,0,0,0,1,26,0
524,1,2,2,52,0,526,4,45,1
525,1,2,2,44,0,448,1,24,0
526,4,1,2,36,0,154,3,21,0
527,2,1,2,38,1,46,2,21,0
528,4,2,2,30,1,289,1,24,0
529,1,2,2,62,1,424,3,22,0
530,1,2,2,26,0,238,4,31,0
531,3,2,2,36,1,394,4,22,0
532,1,2,2,89,0,859,4,24,0
533,2,1,2,104,1,739,4,29,0
534,1,1,1,45,0,394,3,31,0
535,2,1,2,60,1,499,4,24,0
536,1,2,1,46,0,487,2,23,1
537,1,2,2,34,0,388,1,46,0
538,1,1,2,5,0,151,4,67,0
539,1,2,2,74,1,589,4,23,0
540,4,2,2,98,1,592,4,32,1
541,9,1,2,80,1,682,4,43,1
542,4,2,2,50,1,472,3,27,1
543,11,1,2,64,0,547,4,56,1
544,5,1,2,46,1,685,1,25,0
545,2,1,2,58,1,460,2,29,0
546,9,2,2,70,1,535,3,37,1
547,6,2,2,54,1,808,4,53,1
548,5,2,2,42,1,493,1,28,0
549,2,2,2,86,1,484,2,50,0
550,5,2,2,62,0,355,4,37,0
551,2,2,2,56,0,322,1,21,0
552,4,1,2,60,1,457,3,25,0
553,1,2,2,8,0,334,2,66,0
554,2,1,2,48,1,397,3,23,0
555,2,1,2,46,1,607,3,28,0
556,8,2,2,66,1,265,1,37,0
557,2,1,2,80,0,643,1,30,0
558,1,2,2,40,0,334,1,58,0
559,12,2,2,80,0,886,1,42,0
560,1,1,2,35,0,403,2,35,0
561,1,2,2,54,0,514,1,54,1
562,1,2,2,64,1,739,3,28,1
563,2,1,2,68,1,628,3,24,0
564,7,1,2,38,1,307,3,32,0
565,1,1,2,48,0,472,3,27,0
566,3,1,2,28,1,283,4,22,0
567,2,1,2,60,1,658,3,21,0
568,7,1,2,64,1,460,1,46,0
569,5,2,2,58,1,439,2,37,0
570,1,2,2,60,1,529,1,33,1
571,1,1,2,43,0,475,2,39,0
572,1,2,2,25,0,178,2,21,0
573,4,2,2,62,1,385,3,22,0
574,3,1,2,34,1,541,1,22,0
575,2,2,2,60,1,403,4,23,0
576,2,2,1,94,1,565,2,25,0
577,7,2,1,40,1,220,4,35,0
578,1,2,2,78,0,787,4,21,1
579,1,2,2,27,0,310,2,36,0
580,3,2,2,198,0,541,3,62,1
581,1,2,2,92,0,763,2,21,1
582,7,2,2,54,0,250,1,27,0
583,13,2,2,34,0,295,2,62,0
584,1,1,2,69,0,661,1,42,0
585,9,2,2,48,1,361,4,52,1
586,2,1,2,22,0,175,3,22,0
587,1,2,2,53,0,547,1,41,1
588,1,2,2,21,0,229,2,29,0
589,4,2,2,54,1,499,4,52,1
590,1,1,1,17,0,133,2,25,0
591,12,2,2,80,0,904,4,45,1
592,3,2,2,100,1,682,1,24,0
593,1,2,2,58,0,532,3,44,1
594,3,1,2,44,1,355,4,25,0
595,7,2,2,90,1,508,4,34,0
596,1,2,2,28,1,460,4,22,1
597,1,1,2,95,0,859,1,46,0
598,2,1,1,38,1,334,3,21,0
599,1,2,2,63,0,604,1,38,1
600,2,2,1,36,1,193,3,26,0
601,2,2,2,38,0,313,3,24,0
602,1,1,1,16,0,211,1,28,0
603,2,2,2,72,0,334,1,30,0
604,8,2,2,58,1,556,4,54,1
